qscode,date,close,high,low,open,vol
000300.SH,2014-07-09,2148.71,2178.51,2148.26,2178.135,6202204600.0
000300.SH,2014-07-10,2142.847,2151.774,2139.522,2146.601,5573249700.0
000300.SH,2014-07-11,2148.009,2154.735,2134.795,2136.317,6137427400.0
000300.SH,2014-07-14,2171.758,2171.902,2145.278,2149.542,6615886300.0
000300.SH,2014-07-15,2174.976,2176.272,2165.206,2170.089,7181569400.0
000300.SH,2014-07-16,2170.868,2183.248,2166.774,2172.824,8156023000.0
000300.SH,2014-07-17,2157.068,2166.932,2147.084,2166.831,5945356800.0
000300.SH,2014-07-18,2164.144,2176.325,2145.446,2147.663,6547329500.0
000300.SH,2014-07-21,2166.295,2171.94,2158.955,2164.223,5417226000.0
000300.SH,2014-07-22,2192.698,2197.592,2162.236,2162.436,7854258300.0
000300.SH,2014-07-23,2197.833,2210.282,2190.555,2191.394,8421387200.0
000300.SH,2014-07-24,2237.015,2239.815,2199.833,2199.833,11943553400.0
000300.SH,2014-07-25,2260.454,2260.89,2239.066,2243.067,9897283800.0
000300.SH,2014-07-28,2323.897,2331.472,2272.383,2272.383,17986933300.0
000300.SH,2014-07-29,2331.369,2342.77,2316.217,2326.038,13426964100.0
000300.SH,2014-07-30,2322.011,2339.038,2316.058,2324.69,12302283200.0
000300.SH,2014-07-31,2350.251,2350.551,2316.585,2321.967,11098776900.0
000300.SH,2014-08-01,2329.402,2371.5,2328.966,2341.227,12631739000.0
000300.SH,2014-08-04,2375.62,2375.62,2332.138,2336.63,11671375400.0
000300.SH,2014-08-05,2369.353,2380.774,2353.795,2376.797,11186178900.0
000300.SH,2014-08-06,2363.221,2371.667,2334.334,2358.206,11634182900.0
000300.SH,2014-08-07,2327.457,2369.204,2326.268,2363.608,11672921000.0
000300.SH,2014-08-08,2331.134,2339.27,2319.288,2329.184,8673969400.0
000300.SH,2014-08-11,2365.349,2367.004,2337.014,2338.008,9160117100.0
000300.SH,2014-08-12,2357.052,2361.17,2344.716,2361.17,9182260800.0
000300.SH,2014-08-13,2358.901,2370.513,2335.694,2358.459,11044778900.0
000300.SH,2014-08-14,2335.945,2363.18,2334.08,2357.198,9796949300.0
000300.SH,2014-08-15,2360.635,2366.902,2333.123,2337.985,9359254600.0
000300.SH,2014-08-18,2374.562,2379.804,2361.197,2366.272,10450955400.0
000300.SH,2014-08-19,2374.768,2379.474,2358.965,2378.886,11585002000.0
000300.SH,2014-08-20,2366.14,2375.475,2360.837,2371.649,10128808800.0
000300.SH,2014-08-21,2354.244,2367.46,2333.299,2365.731,10069021100.0
000300.SH,2014-08-22,2365.364,2368.457,2350.986,2352.316,8982393800.0
000300.SH,2014-08-25,2342.863,2367.606,2338.455,2367.019,9737371700.0
000300.SH,2014-08-26,2324.092,2350.391,2317.184,2339.6,9384422200.0
000300.SH,2014-08-27,2327.595,2336.737,2322.885,2323.79,6767622100.0
000300.SH,2014-08-28,2311.278,2336.363,2309.639,2328.059,7049065500.0
000300.SH,2014-08-29,2338.287,2338.774,2313.262,2317.304,6321142300.0
000300.SH,2014-09-01,2355.317,2355.552,2338.53,2340.925,7732087000.0
000300.SH,2014-09-02,2386.46,2387.655,2349.949,2359.862,11443673300.0
000300.SH,2014-09-03,2408.838,2414.26,2389.679,2389.694,12973420400.0
000300.SH,2014-09-04,2426.224,2427.297,2404.082,2411.934,11127229800.0
000300.SH,2014-09-05,2449.259,2450.634,2427.987,2433.174,13355176400.0
000300.SH,2014-09-09,2445.224,2454.893,2437.078,2452.227,11819434400.0
000300.SH,2014-09-10,2432.433,2437.081,2422.646,2435.593,10917551700.0
000300.SH,2014-09-11,2423.454,2461.473,2417.269,2430.678,13298258300.0
000300.SH,2014-09-12,2438.358,2438.358,2412.622,2418.752,10916017000.0
000300.SH,2014-09-15,2437.189,2439.254,2418.959,2433.001,12224715900.0
000300.SH,2014-09-16,2388.765,2442.924,2386.98,2440.339,18674279100.0
000300.SH,2014-09-17,2401.326,2405.371,2379.091,2395.361,12526902800.0
000300.SH,2014-09-18,2408.664,2414.946,2389.622,2396.379,11592637600.0
000300.SH,2014-09-19,2425.211,2430.149,2402.313,2409.313,10181357700.0
000300.SH,2014-09-22,2378.92,2419.326,2374.108,2419.326,10224087000.0
000300.SH,2014-09-23,2399.462,2402.482,2379.521,2379.521,8403334100.0
000300.SH,2014-09-24,2441.864,2443.978,2387.07,2391.419,14271353000.0
000300.SH,2014-09-25,2436.965,2462.668,2429.587,2453.423,13866189100.0
000300.SH,2014-09-26,2437.201,2439.649,2420.499,2430.808,10029949400.0
000300.SH,2014-09-29,2447.799,2453.665,2435.611,2443.91,12340172700.0
000300.SH,2014-09-30,2450.988,2454.885,2444.204,2452.166,11580422900.0
000300.SH,2014-10-08,2478.383,2478.383,2445.268,2460.87,12195360400.0
000300.SH,2014-10-09,2481.955,2488.113,2461.112,2480.197,13792392000.0
000300.SH,2014-10-10,2466.789,2482.136,2457.684,2472.096,14763430700.0
000300.SH,2014-10-13,2454.946,2460.389,2430.546,2457.412,13159336200.0
000300.SH,2014-10-14,2446.562,2467.904,2436.336,2451.094,12739370500.0
000300.SH,2014-10-15,2463.874,2465.498,2431.188,2444.538,13580188200.0
000300.SH,2014-10-16,2444.395,2480.3,2441.822,2448.968,15816660300.0
000300.SH,2014-10-17,2441.732,2456.105,2410.401,2443.222,13275998800.0
000300.SH,2014-10-20,2454.711,2456.621,2441.896,2448.453,9143540100.0
000300.SH,2014-10-21,2433.391,2459.255,2432.552,2453.406,9624191200.0
000300.SH,2014-10-22,2418.641,2447.467,2417.562,2434.886,8865619300.0
000300.SH,2014-10-23,2395.936,2424.662,2392.532,2415.44,10349183900.0
000300.SH,2014-10-24,2390.706,2404.993,2385.725,2397.848,7497486900.0
000300.SH,2014-10-27,2368.832,2377.542,2361.68,2377.542,7386244700.0
000300.SH,2014-10-28,2416.653,2416.766,2373.155,2373.155,10152305500.0
000300.SH,2014-10-29,2451.384,2461.268,2415.703,2423.813,15858406200.0
000300.SH,2014-10-30,2468.925,2474.376,2443.759,2450.361,18962635300.0
000300.SH,2014-10-31,2508.325,2512.189,2466.504,2473.501,23917241200.0
000300.SH,2014-11-03,2512.548,2524.172,2502.06,2515.824,20580122800.0
000300.SH,2014-11-04,2513.172,2517.46,2498.605,2511.036,21824700500.0
000300.SH,2014-11-05,2503.448,2519.399,2499.228,2516.87,19049186200.0
000300.SH,2014-11-06,2506.067,2510.985,2482.983,2505.167,14965111700.0
000300.SH,2014-11-07,2502.153,2541.549,2489.419,2508.765,20876091100.0
000300.SH,2014-11-10,2565.73,2565.73,2514.71,2529.83,22659973500.0
000300.SH,2014-11-11,2558.612,2602.373,2532.572,2578.438,32371165600.0
000300.SH,2014-11-12,2594.318,2594.318,2539.601,2545.403,18468626100.0
000300.SH,2014-11-13,2579.75,2607.519,2567.463,2597.389,21981561500.0
000300.SH,2014-11-14,2581.093,2581.932,2557.666,2569.211,16504996500.0
000300.SH,2014-11-17,2567.101,2614.086,2565.943,2613.513,15847809500.0
000300.SH,2014-11-18,2541.416,2570.211,2534.927,2565.273,14294135600.0
000300.SH,2014-11-19,2537.223,2550.5,2531.318,2538.233,12214697400.0
000300.SH,2014-11-20,2537.099,2545.473,2522.836,2528.78,10614986400.0
000300.SH,2014-11-21,2583.455,2585.362,2530.032,2537.538,15102813900.0
000300.SH,2014-11-24,2649.258,2667.671,2602.944,2614.16,27983972000.0
000300.SH,2014-11-25,2685.561,2686.063,2643.843,2650.085,22261169900.0
000300.SH,2014-11-26,2723.018,2723.36,2690.31,2695.263,24396248500.0
000300.SH,2014-11-27,2754.49,2754.49,2718.704,2737.03,26546473000.0
000300.SH,2014-11-28,2808.819,2809.543,2740.374,2753.925,37532366200.0
000300.SH,2014-12-01,2819.812,2855.332,2808.653,2825.611,36548741700.0
